nama_sekolah,latitude,longitude
sd it harapan bunda semarang,-6.994735863696715,110.49000780579745
SD Islam Primadana,-6.996065537614919,110.45934319329072
SD Negeri Tembalang,-7.056141689958632,110.43402883739198
Sekolah Dasar Negeri Pekunden,-6.980416337065277,110.41856603532997
SD Islam Cahaya Ilmu,-6.9895613903785385,110.47115848985452
SD Muhammadiyah 08,-7.0092381567478474,110.47907888080552
SD Islam Nurul Qomar,-6.982930865962798,110.47743532628094
SD Islam Terpadu Bina Amal,-6.987744665200972,110.41582954901861
SD Negeri Ngaliyan 01,-6.991537146493264,110.34547145342826
Sekolah Dasar Negeri Bulustalan Semarang,-6.983103958860855,110.40288103533003
SD Nasima,-6.9802405612724785,110.39874821259231
SDN Bulusan,-7.050212786457441,110.4459321267894
SD Pangudi Luhur Bernardus,-6.981060365672269,110.40723233069048
SD HJ. Isriati Baiturrahman 1,-6.9811693853714525,110.42404497175633
SD Negeri Krapyak – Semarang Barat,-6.979134071231266,110.36665916711684
SD Marsudirini,-6.974082543636405,110.41145133533
SD Islam Al Azhar 29 BSB,-7.027237671969514,110.34084918544498
Sekolah Dasar Negeri Wonodri,-6.991789817206553,110.42759003069047
SD Islam Sultan Agung 02 Semarang,-6.960725991524224,110.41614019890366
SD Negeri Sekayu,-6.976551562822012,110.4131883671168
SD Kanisius Pekunden Leadership School,-6.980387107312198,110.4125772989037
Sekolah Dasar Kebon Dalem,-6.968177267823497,110.42462580795281
SD Negeri Karangkidul,-6.9861387429503425,110.42956338985458
SDN Kramas,-7.063637524468821,110.43471548286743
SD Negeri Pendrikan Kidul,-6.973402866670087,110.40665334437911
SD Negeri Jatingaleh 01,-7.022645452681347,110.42870234901866
SD Supriyadi,-6.997874666292251,110.4535716443791
SD Islam Al Huda,-6.998688816971754,110.39485253069049
Sekolah Dasar Negeri Lamper Tengah 01,-6.998407373295605,110.44127376711684
SD Negeri Pendrikan Lor 01,-6.967913940901371,110.40631512095158
